Gene1	Gene2
ABP140	cdc4-2
ABP140	gpi1-1
ABP140	ost1-6
ABP140	rfc5-1
ABP140	srb4-2
ABP140	taf6-ts
ABP140	taf7-ts1
ABZ1	ACA1
ABZ1	ACB1
ABZ1	ADH1
ABZ1	ADI1
ABZ1	ADR1
ABZ1	AGP1
ABZ1	APE2
ABZ1	APL3
ABZ1	ARF1
ABZ1	ARL1
ABZ1	ARO2
ABZ1	ARO8
ABZ1	ASG1
ABZ1	ASK10
ABZ1	ATG13
ABZ1	BAS1
ABZ1	BIO2
ABZ1	BRE1
ABZ1	CDC73
ABZ1	CHK1
ABZ1	CHO2
ABZ1	CLB2
ABZ1	CMC1
ABZ1	COG7
ABZ1	CPR5
ABZ1	CYT1
ABZ1	DAN2
ABZ1	DAN3
ABZ1	DAN4
ABZ1	DAP2
ABZ1	DBP7
ABZ1	DIG2
ABZ1	DPB3
ABZ1	DPH5
ABZ1	ECM37
ABZ1	ELO1
ABZ1	ERD1
ABZ1	ERM6
ABZ1	ERR1
ABZ1	FLX1
ABZ1	FMP21
ABZ1	FRE7
ABZ1	FTR1
ABZ1	GAL10
ABZ1	GCR2
ABZ1	GET1
ABZ1	GGA1
ABZ1	GIN4
ABZ1	GRE2
ABZ1	GTS1
ABZ1	GUP1
ABZ1	GYP1
ABZ1	HIM1
ABZ1	HLR1
ABZ1	HOM6
ABZ1	HXT10
ABZ1	ICE2
ABZ1	IMP2
ABZ1	INP1
ABZ1	IRC25
ABZ1	IST3
ABZ1	IZH2
ABZ1	JID1
ABZ1	JLP1
ABZ1	JLP2
ABZ1	JNM1
ABZ1	KCC4
ABZ1	KEM1
ABZ1	KIP3
ABZ1	KTR2
ABZ1	LCB3
ABZ1	LCB5
ABZ1	LDB17
ABZ1	LGE1
ABZ1	LIN1
ABZ1	LOS1
ABZ1	MAF1
ABZ1	MAL33
ABZ1	MCM22
ABZ1	MDS3
ABZ1	MFA2
ABZ1	MGR1
ABZ1	MGR2
ABZ1	MKK2
ABZ1	MND2
ABZ1	MRP49
ABZ1	MVP1
ABZ1	MXR1
ABZ1	NAP1
ABZ1	NAT4
ABZ1	NDE1
ABZ1	ODC2
ABZ1	PAC11
ABZ1	PAP2
ABZ1	PBS2
ABZ1	PCA1
ABZ1	PCK1
ABZ1	PET122
ABZ1	PEX1
ABZ1	PEX10
ABZ1	PEX15
ABZ1	PEX19
ABZ1	PEX22
ABZ1	PEX27
ABZ1	PEX5
ABZ1	PEX8
ABZ1	PFK27
ABZ1	PGK1_damp
ABZ1	POC4
ABZ1	PSO2
ABZ1	PTH1
ABZ1	PTK2
ABZ1	PUF3
ABZ1	QCR2
ABZ1	RAD24
ABZ1	RAD9
ABZ1	RIF1
ABZ1	RIM15
ABZ1	RKM4
ABZ1	RMD8
ABZ1	RPL40B
ABZ1	RPN13
ABZ1	RPS0B
ABZ1	RPS18B
ABZ1	RPS19B
ABZ1	RPS25A
ABZ1	RPS26B
ABZ1	RPS27B
ABZ1	RPS29B
ABZ1	RPS8A
ABZ1	RRF1
ABZ1	RTC2
ABZ1	RTC6
ABZ1	RTF1
ABZ1	RTG3
ABZ1	RTT102
ABZ1	RTT103
ABZ1	RVS161
ABZ1	SAC1
ABZ1	SAM2
ABZ1	SCW4
ABZ1	SEC72
ABZ1	SER1
ABZ1	SHU1
ABZ1	SKG3
ABZ1	SKM1
ABZ1	SKY1
ABZ1	SLK19
ABZ1	SLX9
ABZ1	SNA2
ABZ1	SNF11
ABZ1	SNF4
ABZ1	SNT1
ABZ1	SNU66
ABZ1	SPO12
ABZ1	SPO19
ABZ1	SPT2
ABZ1	SRL2
